epoch,train_loss,test_loss,train_mse_loss,test_mse_loss,train_kld_loss,test_kld_loss,train_mmd_loss,test_mmd_loss,train_disc_loss,test_disc_loss
0,351.0389943574091,71.48077018397629,328.8036753954485,51.49987174599034,12.40138066607668,13.476589324368033,0.056545933875281486,0.05663005106008736,2.1546409750533533,1.9280398210902123
1,65.70485830672867,62.43301918855898,46.950469970703125,44.800399998950354,16.705820701921077,19.489843635802057,0.042885648472534725,0.04441627119756808,1.815890248016933,1.6994002336149763
2,58.50462677899529,55.77325728592599,41.65599736899061,40.16574103968918,17.281893227716235,16.484079555341392,0.0381284054282986,0.029913029093651254,1.6294907694277556,1.5143844435928733
3,53.90023759319959,53.77421202932953,39.0673971383468,39.44874626208263,17.494422161365716,16.54962205583123,0.033164657900095595,0.0498473287388018,1.4326581244578447,1.3661994842966652
4,50.95876354695586,49.600248519022756,37.94791062591631,36.75852439054258,18.089960639738976,20.330757554169672,0.03359479321848096,0.05452978459133464,1.2494341285179948,1.209366397113557
5,47.53432433379581,49.094149316192436,35.798030236188104,37.43209523000535,18.6196619958219,17.221874364622078,0.031434338415980034,0.04990960154563758,1.123606847756354,1.0991238587221521
6,46.365039410798445,45.420030994779744,35.7243908652869,35.17948725269099,18.77431046688343,19.84032194781455,0.03275361268416695,0.041292943012942174,1.0125696874030716,0.9629623943073734
7,44.97517220626402,46.22287281303649,35.188408634546775,36.47597373670833,19.114432925153572,18.769073291948647,0.0319397063816295,0.036368902321833714,0.9276541691759358,0.9195883038696969
8,43.65149686281639,43.56894894010702,34.53698454488574,34.557751491570926,19.50145837169169,19.11173654058177,0.033833062252425175,0.04006898251308757,0.8581505339316395,0.8419790856397835
9,43.20194221701463,42.24606433795516,34.81297544689129,33.6311817533651,19.20747369756479,17.225392183680444,0.02996749021208195,0.03128534441540955,0.7897516809537283,0.8130087928407511
10,41.58012526480438,42.34916939705041,33.664363850108195,33.35956215099165,20.25827362226403,19.653653964874852,0.03305044899816099,0.06013300388481966,0.7383004738318036,0.8192341843987726
11,41.3948517406688,42.3722722241833,34.025901204179924,33.969102264209916,20.18448316471656,18.791356858174513,0.03162248512668073,0.05011409407208679,0.6851197023449651,0.771461648356383
12,40.71148470905431,42.28976615371218,33.77784618880133,34.255160374246586,19.63571031746047,18.194200479300918,0.03193952345177341,0.033887835824565525,0.6418205530518462,0.751412427349455
13,39.97423695908178,40.91063801953747,33.51946234642087,33.49860478054946,19.374388377684767,19.24851837887126,0.029608622993654608,0.03260072249515801,0.5965240564949982,0.6893866508250024
14,38.69082593551987,40.27810992101195,32.535174871039814,33.46311574073354,20.110313071619213,19.58521590263221,0.03137912439263385,0.019084191626044595,0.5641070454550521,0.6428490710106625
15,38.838558577515585,39.25776339488424,33.0247063868491,32.37351096207929,20.645535343443342,17.47968882663994,0.030215901029689234,0.02321391652344139,0.5305540022604606,0.6477548741990593
16,38.599381285860105,41.62661502619458,33.10006246908242,33.91221818498745,19.65474661170979,22.96201837138765,0.02920074779969042,0.040488962914533674,0.501105588739333,0.7080291887377478
17,38.03446219461348,41.62236744583033,32.80368853347076,34.24988947096904,19.449618176121238,20.27733269466716,0.029514075697535443,0.05522072846722451,0.4741431921720505,0.6618049418091014
18,37.808441640166066,39.445939811171996,32.77424325479571,32.644719263550584,19.70174480155301,23.334368602485412,0.029915135839711064,0.0327272339231649,0.45383287440328035,0.624093163355141
19,38.36732684376904,39.648572010599125,33.5306631207771,33.041517482441705,20.24362041151432,22.049215778423722,0.031121328663643057,0.033765722232259765,0.43233253747758355,0.6049242682138066
20,37.412663371971504,37.588195618550486,32.88984786884864,30.89902297098925,19.93690775605419,16.760283895358917,0.029049673043858366,0.03384984906312007,0.4033240139713068,0.6183409583606537
21,36.697378321986676,39.50969530822365,32.343308165859995,32.605890778219624,19.203083012719897,18.60316004419023,0.027788864377209597,0.0386714327866864,0.3884428606447204,0.6331445284330162
22,36.846985524267794,36.67057147906844,32.70506068568705,30.658179495744644,19.28004473981345,18.009258901996976,0.027419959645137153,0.029171887476732775,0.3675198883599485,0.5540872203886129
23,36.05982840701442,39.034982474746215,32.09538024160868,32.74933143178369,19.315089225769043,21.41258163209174,0.028593177075886055,0.03765465423559687,0.34856514882324907,0.5695355352322766
24,35.743645730225936,36.61610213358691,31.935340603294275,30.39468610970078,19.464064145636986,18.9862862483711,0.028244322218248605,0.035304941948811716,0.33315037221402466,0.5678856665161764
25,35.76620993894689,38.182094598272045,32.06708692955544,31.966500288361956,19.060523420953384,17.168179165785478,0.026850660438732722,0.03153883044127446,0.3240279630588753,0.5728839783911492
26,35.79700732657977,39.50346233586597,32.26198366413946,32.912557383251794,19.14084844394108,19.872417304166564,0.027718793248276575,0.03702278122021135,0.306670448835701,0.6022323034941011
27,35.8050721844139,39.606850885281894,32.379649575713955,32.80760456498261,19.090473317734116,18.569543923542,0.02729338285563242,0.03538862762937121,0.29618570905016817,0.6260018812812818
28,35.09873917767459,36.54071999811063,31.93076113605743,30.24952094570087,18.688392369643502,22.30088898482596,0.024263864130620153,0.024531946060763803,0.2738698175381821,0.5823116022500263
29,35.14464615677934,38.27856527923778,31.894268406626512,32.36081244231789,19.447652008222498,19.50636793245935,0.028739038483261148,0.02085304715830809,0.2768798245312384,0.5514367081367286
30,34.41446018706807,38.21320615148848,31.383083928881398,32.37568903880514,18.250173790680478,19.10417582275002,0.02512040315076823,0.02459821048056244,0.2597921646064352,0.5400739199226829
31,34.49188761698925,38.21109339234176,31.541307435925965,32.14109940741472,18.22780102415158,17.561875227909937,0.024985704275653185,0.024572250190054535,0.25186949491958177,0.5648898499406827
