epoch,train_MSE,test_MSE
0,198.59000741368365,48.623506716102554
1,43.933306528174356,41.44416409389228
2,40.347823082028754,40.593179411189574
3,39.24494973107067,37.14399922121862
4,38.0043816066459,37.13645044557608
5,37.52983035455884,37.408644998149505
6,36.421550344628145,37.08990811390482
7,36.96891191609375,35.481127429160345
8,35.1838665350014,34.83286880687544
9,34.96700298328839,34.84097984338262
10,35.25091954814199,35.22739527028078
11,34.86199650313238,35.028414100598376
12,34.82016463657779,34.7061680350334
13,33.89290803533686,32.64590440737973
14,33.90705362549218,33.46005121461905
15,33.729617901775235,33.84206123109077
16,33.67205039558508,33.31604364723157
17,33.546356962160075,32.246476932695714
18,33.30713646247259,34.31142593189409
19,33.20689497457441,32.668017247679884
20,33.116797922822215,32.93365986332012
21,33.43896212053421,33.4195349383506
22,33.38309048020931,33.452236151239674
23,33.288840599986905,33.60801478100431
24,33.07459655625131,32.342109145632215
25,32.922080381447095,33.5169918521954
26,32.48593548191783,32.56163927552047
27,32.38468260655318,32.335166360162624
28,32.60017848075808,32.63735652121768
29,32.69182951310102,33.32892753212315
30,32.851133688026685,33.5832385530897
31,32.0338899131931,32.254738005862876
32,32.47770497012321,33.382189963273944
33,32.04557030402181,32.813222320216475
34,32.51463971906306,31.373786100156746
35,32.11743732486539,32.414504834800766
36,32.1232414830981,33.067442365512726
37,31.724375897966077,32.79942154125044
38,31.725488244420124,32.64160966569451
39,31.953301335844543,32.484873899229015
40,32.18537261601909,32.12208414381477
41,31.842157627310595,32.59714600386893
42,31.91219609960571,30.824607083751896
43,32.39089756060744,31.934370235273033
44,31.562746310173093,31.96079570624479
45,32.523946076707766,32.756586767306
46,31.50093074466871,33.31282106630362
47,31.72414779297226,31.887791414929044
48,31.74707614796241,32.35385980423848
49,31.20330254805972,31.881250241759478
50,32.00420376955701,32.219456423619754
51,31.885476036754717,32.521030972717675
52,31.77334181427041,31.347991141544025
53,31.774110913581556,31.046495559109243
54,31.578123332899246,31.681181026871798
55,31.224779747331233,30.308217127611684
56,31.621544495263063,31.271718875617736
57,31.940245094201753,32.352287778429165
58,31.160299193828614,32.227003328359814
59,31.348550614798466,31.146540010051364
60,31.12348521639929,31.515660850865068
61,31.225690724599698,30.93291664123535
62,31.725519683964723,32.607898390217194
63,31.320533885370434,31.58933345527406
64,31.881463591095127,30.96874395601309
65,31.901317848878747,31.708320897096282
66,31.601331874232766,31.72320584582675
67,31.519680762229978,32.010348933517555
68,30.84980643801677,30.58204258475334
69,31.463872546125252,32.01485580395741
70,31.48329683947746,32.06955109128527
71,30.659418799993023,30.54188566754578
72,31.04518724768363,30.986838589807984
73,31.96670576129728,32.78047483286281
74,31.055766117847178,30.967487165123035
75,31.35909133920889,32.70699425108114
76,31.439968245718486,33.28826497314842
77,31.93088457102666,31.062928424519338
78,31.35869185333057,31.86225171301775
79,31.64439663435797,32.01872755159997
80,31.736030471294434,31.52174560887039
81,31.132954542594188,31.133856475732888
82,31.462242671595813,30.799728818759796
83,31.397750714245966,31.30223836109137
84,31.27662718570446,31.7239615446443
85,31.468895228012748,31.151163010080907
86,31.49978317324158,31.304019405583666
87,30.738096807923768,31.449654184329283
88,31.209073839894952,31.180442469894505
89,31.18802837215726,31.153511217445324
90,30.990557390100815,31.47407486180591
91,31.17205159682447,30.221054648138157
92,31.121165641433443,30.967155954640383
93,30.806762231890197,31.358678465436217
94,31.040369854558765,31.584530405178192
95,30.64890088693565,31.175409991270417
96,31.10907050715688,31.718029909073167
97,31.16717210145253,31.39537393970854
98,30.64401206336058,31.273997276451937
99,30.990774875406718,31.268935027395845
100,31.33076831934702,31.879596819543536
101,31.17094987493647,30.600215632444733
102,31.082701602555296,31.452169977175963
103,31.105816278921065,30.93253323986272
104,30.951302490575845,31.358806646553575
105,30.692965066036606,31.737662102766098
106,31.124884106618975,31.27155974564279
107,30.771134545431114,30.440986050162344
108,31.257628438417868,30.897877905778824
109,31.218459222017955,31.258808719124765
110,30.866378686617097,30.296718439478784
111,31.004198976794775,30.2518504561892
112,30.722736444009843,30.64698922710054
113,31.109590471857953,30.55183768424259
114,30.217287716048453,32.232989025723406
115,30.51354545461552,30.56612716966374
116,31.16009936491242,30.689024736926815
117,30.690623573634934,29.933900468668362
118,30.757142831602366,29.785479235800967
119,31.152096488591656,30.40064311179386
120,30.968273526262443,30.73737702096344
121,31.215441756236277,31.409385820862592
122,31.4239472684348,30.550347893101396
123,30.682546332669077,31.69316595527017
124,30.979418471646127,29.84101728572967
125,31.069539151838065,30.95509868670421
126,31.524597899688175,31.017849739949416
127,30.568096310891153,31.475118381961895
128,31.14171088747966,31.003072131211592
129,30.980756399881503,30.891440652737952
130,31.208696104376518,31.22254332767171
131,30.991530218392686,31.549110837802765
132,30.864492374917734,31.096401372532934
133,31.213943629008728,30.142950070132116
134,31.04760055346867,30.58777287355654
135,30.553581724386387,31.455267626768464
136,31.272805854182717,30.87187671053941
137,30.87383545756035,30.95364797798691
138,30.894341349296862,31.062296879519323
139,30.531861033281096,31.507862261146496
140,30.670147564100184,30.448118932687553
141,30.745609579793634,30.865194496835112
142,30.614819470573874,30.927880505847323
143,31.115281314801074,31.5383552745649
144,31.031656660387277,30.975843854770538
145,30.892013693709508,31.412021551921868
146,30.66948761171697,30.54828453063965
147,30.973781384470517,31.19921740149237
148,31.32509343154595,31.149116200246628
149,30.621472356264547,30.885358761829934
150,31.214869318715753,30.713141666096487
151,30.604516439120786,30.7287830061214
152,30.855865811447963,31.452669896897238
153,30.80741861836075,30.795786189425524
154,30.514686286906755,31.14025326139608
155,30.967205282367402,30.66631246068675
156,30.316519618949012,31.19542682550515
157,30.397240561902372,31.937276882730472
158,30.57336206387376,31.299859745487286
159,30.620750493100843,31.61385610301024
160,30.663054058923745,30.184998330037306
161,30.7494807840918,30.753792714161477
162,31.064310478737287,30.666158931270527
163,31.457168702274334,30.951838742395875
164,30.76849294745404,31.242655748014997
165,31.717246527562057,29.334121934927193
166,30.82712078338389,29.649923288138808
167,30.773564033800987,30.636290683867824
