epoch,train_loss,test_loss,train_mse_loss,test_mse_loss,train_kld_loss,test_kld_loss,train_mmd_loss,test_mmd_loss
0,148.49734250480867,47.15463426917981,147.1637268773735,46.86459076024924,11.80938512658524,1.2853030270072305,0.12167388658084528,0.02774678294066411
1,43.66617184221897,40.84849358819852,43.46835164950632,40.66805309854495,1.3910781962182515,1.3851266104704256,0.01840934988177951,0.016675589190926522
2,39.75233942285523,40.29868999408309,39.54983074158964,39.960754516018426,1.633101245783784,1.8748479360228132,0.018636402266714577,0.03195065146039246
3,37.590636280186644,38.27301850288537,37.34212936586736,37.90723106967416,2.085129872002565,2.3073532968569714,0.022788350234556075,0.03430570538636226
4,37.06663171348669,37.365163705910845,36.870426849940856,37.183946062804786,1.755381359316199,2.2924423460747785,0.01788299025781929,0.01584516209401902
5,35.948350150262,35.99400441358044,35.73834550716078,35.66683188517382,1.9468504576122059,2.9069939479706393,0.019072687077095443,0.029840088194342935
6,35.801290626721006,34.384307703394796,35.58831292467044,34.218775172142465,2.1945584558160105,2.3503393079065216,0.019122337593751794,0.01421713221604657
7,35.128397607437485,35.18633996756973,34.90683347306898,34.971161362471854,2.4381205968539734,2.1078024054788482,0.019738030860491116,0.01942948247217069
8,35.21159219619868,35.05607812723537,34.980130796847135,34.77477326362756,2.644776836533071,2.169704728825077,0.02052188773289361,0.02598676863749316
9,34.389569273995015,33.15812686446366,34.18288917370769,33.009538923858834,2.3107461429313014,1.9416220924656862,0.018375641702081235,0.012930086463879628
10,33.763541272839014,35.20127193183656,33.563007030340714,34.983131724558056,2.250944374010081,2.38233948968778,0.0178203015681118,0.01945113300517866
11,33.483061675830264,34.76616055190943,33.27548454850531,34.294566853031235,2.379489298214388,2.9217968518566932,0.018396623451691456,0.04428185019523475
12,33.92423762445865,33.527940774419505,33.7073226743342,33.2655248459737,2.448215707488682,2.4535273670390914,0.019262537017197864,0.023811864245469404
13,32.914396842117505,32.0336635613897,32.717243911665115,31.81912293403771,2.157643012378527,2.0256395544975425,0.017575227391079563,0.019447866518785998
14,33.35990188676683,33.01751096689018,33.13914669261259,32.82591751730366,2.4105718376691385,1.9850826179905303,0.019684639275836212,0.017191457140977216
15,33.12779802800444,35.032516965440884,32.92053301803901,34.88136485883385,2.142396535257549,1.7475057339212696,0.018602705977456953,0.013381093170992129
16,33.400364005047344,33.58536285351796,33.20592124992624,33.295598995913366,1.9620855956736123,2.1376758859415723,0.01749968833630652,0.02686556737134411
17,33.181173364829526,32.84973510207644,32.96631998784097,32.6433880921382,2.086458790942531,1.660751396683371,0.01941829523467042,0.01899295248043765
18,32.86382455289211,31.703282076841706,32.66021019113643,31.484802331134773,1.948905313106449,1.9173005933214904,0.018430960605211575,0.019950622965575784
19,32.8225032862495,33.452054758740076,32.634426674269655,33.298408022352085,1.7538108193051174,1.7400627098265726,0.017070924077192535,0.013638244313039597
20,32.78990363708847,32.89275266562298,32.59491211800929,32.73443930316123,1.8773392236141293,1.7492483899851514,0.017639450862279634,0.014096174270484098
21,32.52186025439016,34.10943304049741,32.32471132400396,33.84972929498952,1.8887909713303646,1.5710288513997557,0.017843945252011193,0.024423782233219997
22,33.1924059909323,32.89348180126992,33.00047128340777,32.51298006021293,1.7781487092032762,2.3887686015694003,0.017432754149522316,0.035697113936114466
23,32.596270485607256,33.02268534253357,32.40130126201893,32.80897116205495,1.8034710249937405,2.0180073968923775,0.01771116409155414,0.019372800353226388
24,32.564362857652746,32.737136834745954,32.37034557298626,32.575460980652245,1.8024632177694375,1.8424000945060877,0.0176168846352326,0.014339524469557842
25,32.84918655215017,33.185492709943446,32.64482298409543,32.87779489748038,1.756191968460522,2.1106957356641245,0.018698864275842067,0.028687771718213514
26,32.122523490730146,31.872155547901322,31.93526659841123,31.61971297537445,1.6598776456949962,1.4366890928547853,0.017082897750922785,0.02383138951222608
27,32.55522103565733,31.185804689006442,32.36978398442573,30.934749700461225,1.6618307045353649,1.6665533439368958,0.01689877122869272,0.02346240866715741
28,32.550650679546855,32.18823897003368,32.35693673404586,31.933221185283298,1.6258673905716527,1.708174762452484,0.017763290106488007,0.02381742000579834
29,31.768268753500546,31.377381804642404,31.595130725284978,31.158553390745904,1.540735609848481,1.5704656474909204,0.015788859875915606,0.020332708480251822
30,31.820223035105048,31.922875574439953,31.640560489176483,31.712869109621472,1.5259685559041054,1.5619312547574378,0.0164567489758172,0.019458177742684723
31,31.847101310329975,33.04440748008194,31.659363796643895,32.899805275497926,1.6361660597574375,1.1907308997621961,0.017154744214109143,0.013282777397495926
32,31.887361648442496,32.05438362413151,31.689138267351233,31.771398021916674,1.6663520567862273,1.8728436375879178,0.018174158795105526,0.02645217537120649
